x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1577.01,1184.65,278.986,457.624,176.654,115.564,2313.62,892.436,2134.99,892.436
1576.49,1184.56,279.507,458.478,176.558,115.501,2314.48,892.499,2135.51,892.499
1576.63,1184.53,279.375,458.26,176.531,115.483,2314.26,892.517,2135.37,892.517
1576.56,1184.55,279.441,458.37,176.545,115.493,2314.37,892.507,2135.44,892.507
1576.45,1184.24,279.554,458.555,176.241,115.294,2314.56,892.706,2135.55,892.706
1576.61,1184.11,279.386,458.279,176.112,115.209,2314.28,892.791,2135.39,892.791
1576.79,1184.14,279.206,457.984,176.14,115.228,2313.98,892.772,2135.21,892.772
1577.93,1183.97,278.074,456.128,175.965,115.113,2312.13,892.887,2134.07,892.887
1577.74,1184.18,278.263,456.437,176.176,115.251,2312.44,892.749,2134.26,892.749
1577.86,1184.23,278.136,456.228,176.233,115.288,2312.23,892.712,2134.14,892.712
1577.96,1184.18,278.045,456.079,176.184,115.256,2312.08,892.744,2134.04,892.744
1578.11,1184.42,277.886,455.819,176.419,115.41,2311.82,892.59,2133.89,892.59
1578.31,1184.52,277.688,455.493,176.516,115.473,2311.49,892.527,2133.69,892.527
1578.38,1184.92,277.619,455.38,176.922,115.739,2311.38,892.261,2133.62,892.261
1579.73,1182.55,276.274,453.174,174.551,114.188,2309.17,893.812,2132.27,893.812
1580.03,1183.47,275.97,452.676,175.469,114.789,2308.68,893.211,2131.97,893.211
1580.35,1183.03,275.654,452.158,175.026,114.499,2308.16,893.501,2131.65,893.501
1580.58,1183.06,275.416,451.767,175.059,114.521,2307.77,893.479,2131.42,893.479
1580.87,1183.03,275.13,451.298,175.026,114.499,2307.3,893.501,2131.13,893.501
1581.34,1182.82,274.664,450.533,174.817,114.362,2306.53,893.638,2130.66,893.638
1581.84,1182.5,274.159,449.705,174.498,114.154,2305.7,893.846,2130.16,893.846
1587.61,1179.53,268.393,440.247,171.532,112.213,2296.25,895.787,2124.39,895.787
1588.29,1178.66,267.708,439.124,170.661,111.643,2295.12,896.357,2123.71,896.357
1588.18,1178.42,267.818,439.304,170.425,111.489,2295.3,896.511,2123.82,896.511
1588.56,1178.28,267.443,438.688,170.277,111.392,2294.69,896.608,2123.44,896.608
1588.57,1178.45,267.426,438.661,170.445,111.502,2294.66,896.498,2123.43,896.498
1587.97,1178.34,268.035,439.66,170.342,111.435,2295.66,896.565,2124.03,896.565
1588.12,1178.34,267.884,439.412,170.341,111.434,2295.41,896.566,2123.88,896.566
1587.49,1178.65,268.513,440.443,170.646,111.634,2296.44,896.366,2124.51,896.366
1586.98,1178.86,269.024,441.283,170.856,111.771,2297.28,896.229,2125.02,896.229
1586.84,1178.92,269.165,441.513,170.924,111.815,2297.51,896.185,2125.16,896.185
